rank,player,age,teamName,position,gamesPlayed,goals,assists,points,plusMinus,penaltyMinutes,evenStrengthGoals,powerPlayGoals,shortHandedGoals,gameWinningPoints,evenStrengthAssists,powerPlayAssits,shortHandedAssists,shots,shootingPercentage,timeOnIce,averageTimeOnIce
"1","Justin Abdelkader","21","DET","LW","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","19","9:18"
"2","Craig Adams","31","TOT","RW","45","2","5","7","-3","22","1","1","0","0","5","0","0","47","4.3","391","8:41"
"3","Maxim Afinogenov","29","BUF","RW","48","6","14","20","-7","20","6","0","0","0","7","7","0","93","6.5","605","12:36"
"4","Andrew Alberts","27","PHI","D","79","1","12","13","6","61","1","0","0","0","11","0","1","46","2.2","1248","15:48"
"5","Daniel Alfredsson","36","OTT","RW","79","24","50","74","7","24","15","8","1","3","27","20","3","204","11.8","1649","20:53"
"6","Bryan Allen","28","FLA","D","2","0","1","1","2","0","0","0","0","0","1","0","0","5","0.0","54","27:11"
"7","Karl Alzner","20","WSH","D","30","1","4","5","-1","2","1","0","0","0","4","0","0","31","3.2","583","19:25"
"8","Artem Anisimov","20","NYR","C","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","9","9:27"
"9","Nik Antropov","28","TOT","RW","81","28","31","59","-14","30","20","8","0","4","21","9","1","224","12.5","1392","17:11"
"10","Colby Armstrong","26","ATL","RW","82","22","18","40","5","75","19","3","0","2","17","1","0","141","15.6","1243","15:09"
"11","Derek Armstrong","35","LAK","C","56","5","4","9","-11","63","4","1","0","1","4","0","0","42","11.9","475","8:29"
"12","Riley Armstrong","24","SJS","RW","2","0","0","0","-1","2","0","0","0","0","0","0","0","1","0.0","15","7:26"
"13","Tyler Arnason","29","COL","C","71","5","17","22","-16","14","3","2","0","1","16","1","0","108","4.6","945","13:19"
"14","Jason Arnott","34","NSH","C","65","33","24","57","2","49","24","9","0","5","16","8","0","196","16.8","1229","18:55"
"15","Evgeny Artyukhin","25","TBL","RW","73","6","10","16","1","151","5","1","0","0","9","1","0","100","6.0","779","10:40"
"16","Arron Asham","30","PHI","RW","78","8","12","20","0","155","8","0","0","1","12","0","0","74","10.8","682","8:45"
"17","Adrian Aucoin","35","CGY","D","81","10","24","34","-8","46","7","3","0","3","14","9","1","126","7.9","1806","22:18"
"18","Keith Aucoin","30","WSH","C","12","2","4","6","5","4","1","1","0","0","4","0","0","15","13.3","124","10:19"
"19","Sean Avery","28","TOT","LW","41","8","14","22","6","111","6","2","0","0","11","3","0","99","8.1","646","15:45"
"20","P.J. Axelsson","33","BOS","LW","75","6","24","30","-1","16","4","2","0","0","15","9","0","87","6.9","1217","16:14"
"21","Anton Babchuk","24","CAR","D","72","16","19","35","13","16","7","9","0","4","13","6","0","127","12.6","1301","18:04"
"22","David Backes","24","STL","RW","82","31","23","54","-3","165","23","6","2","1","17","5","1","208","14.9","1451","17:41"
"23","Mikael Backlund","19","CGY","C","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","11","10:44"
"24","Christian Backman","28","CBJ","D","56","2","5","7","5","32","1","1","0","1","4","1","0","54","3.7","877","15:39"
"25","Nicklas Backstrom","21","WSH","C","82","22","66","88","16","46","8","14","0","1","38","28","0","174","12.6","1635","19:57"
"26","Josh Bailey","19","NYI","C","68","7","18","25","-14","16","4","3","0","0","10","8","0","74","9.5","1053","15:29"
"27","Keith Ballard","26","FLA","D","82","6","28","34","14","72","5","1","0","1","23","4","1","106","5.7","1835","22:23"
"28","Krys Barch","28","DAL","RW","72","4","5","9","1","133","4","0","0","1","5","0","0","27","14.8","465","6:27"
"29","Cam Barker","22","CHI","D","68","6","34","40","-6","65","1","5","0","1","9","24","1","101","5.9","1247","18:20"
"30","Cody Bass","22","OTT","C","12","0","0","0","-2","15","0","0","0","0","0","0","0","5","0.0","68","5:41"
"31","Ryan Bayda","28","CAR","LW","70","5","7","12","2","26","5","0","0","0","7","0","0","62","8.1","732","10:27"
"32","Jay Beagle","23","WSH","C","3","0","0","0","-3","2","0","0","0","0","0","0","0","5","0.0","23","7:36"
"33","Francois Beauchemin","28","ANA","D","20","4","1","5","-3","12","4","0","0","2","0","1","0","45","8.9","498","24:54"
"34","Steve Begin","30","TOT","LW","62","7","5","12","-6","42","7","0","0","1","5","0","0","90","7.8","665","10:43"
"35","Wade Belak","32","TOT","RW","53","0","2","2","-1","79","0","0","0","0","2","0","0","19","0.0","278","5:15"
"36","Eric Belanger","31","MIN","C","79","13","23","36","-5","26","9","4","0","4","12","9","2","147","8.8","1409","17:50"
"37","Matt Beleskey","20","ANA","LW","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","22","11:10"
"38","Brendan Bell","25","OTT","D","53","6","15","21","-5","24","1","5","0","1","5","10","0","76","7.9","940","17:44"
"39","Sean Bentivoglio","23","NYI","LW","1","0","0","0","0","2","0","0","0","0","0","0","0","2","0.0","12","11:31"
"40","Sean Bergenheim","24","NYI","LW","59","15","9","24","-2","64","11","0","4","5","9","0","0","152","9.9","841","14:15"
"41","Marc-Andre Bergeron","28","MIN","D","72","14","18","32","5","30","7","7","0","3","7","11","0","140","10.0","1217","16:54"
"42","Patrice Bergeron","23","BOS","C","64","8","31","39","2","16","6","1","1","1","16","13","2","155","5.2","1151","17:59"
"43","Niclas Bergfors","21","NJD","RW","8","1","0","1","-1","0","1","0","0","0","0","0","0","6","16.7","46","5:48"
"44","Patrik Berglund","20","STL","C","76","21","26","47","19","16","14","7","0","1","11","15","0","143","14.7","1119","14:43"
"45","Steve Bernier","23","VAN","RW","81","15","17","32","4","27","13","2","0","4","12","5","0","137","10.9","1121","13:50"
"46","Todd Bertuzzi","33","CGY","LW","66","15","29","44","-13","74","9","6","0","4","19","10","0","127","11.8","1228","18:36"
"47","Blair Betts","28","NYR","C","81","6","4","10","-5","16","4","0","2","1","3","0","1","83","7.2","860","10:37"
"48","Kevin Bieksa","27","VAN","D","72","11","32","43","-4","97","6","5","0","2","10","20","2","153","7.2","1691","23:29"
"49","Paul Bissonnette","23","PIT","LW","15","0","1","1","-1","22","0","0","0","0","1","0","0","4","0.0","53","3:31"
"50","Byron Bitz","24","BOS","RW","35","4","3","7","0","18","4","0","0","0","2","1","0","31","12.9","363","10:22"
"51","Jason Blake","35","TOR","LW","78","25","38","63","-2","40","19","5","1","5","24","13","1","302","8.3","1431","18:21"
"52","Rob Blake","39","SJS","D","73","10","35","45","15","110","4","6","0","1","19","16","0","198","5.1","1553","21:16"
"53","Brandon Bochenski","26","TBL","RW","7","0","1","1","-3","2","0","0","0","0","1","0","0","11","0.0","76","10:47"
"54","Troy Bodie","24","ANA","RW","4","0","0","0","0","0","0","0","0","0","0","0","0","5","0.0","33","8:09"
"55","Mikkel Boedker","19","PHX","LW","78","11","17","28","-6","18","9","2","0","3","17","0","0","116","9.5","1212","15:32"
"56","Zach Bogosian","18","ATL","D","47","9","10","19","11","47","6","2","1","1","7","3","0","90","10.0","851","18:06"
"57","Alexandre Bolduc","23","VAN","C","7","0","1","1","1","4","0","0","0","0","1","0","0","7","0.0","51","7:20"
