rank,player,age,teamName,gamesPlayed,gamesStarted,wins,losses,plusMinus,goalsAgainst,shotsAgainst,saves,savePercentage,goalsAgainstAverage,shutouts,minutes,qualityStarts,qualityStartsPercentage,badStarts,goalsAllowedPercentage,savedAboveAverage,goals,assists,points,penaltyMinutes
"1","David Aebischer","27","TOT","50","","29","17","2","149","1473","1324",".899","3.09","3","2895","","","","102","-3.57","0","3","3""16"
"2","Craig Anderson","24","CHI","29","","6","12","4","86","757","671",".886","3.32","1","1554","","","","115","-11.26","0","1","1""14"
"3","Jean-Sebastien Aubin","28","TOR","11","","9","0","2","25","330","305",".924","2.22","1","677","","","","77","7.58","0","0","0""0"
"4","Alex Auld","25","VAN","67","","33","26","6","189","1938","1749",".902","2.94","0","3859","","","","99","2.34","0","2","2""4"
"5","Jason Bacashihua","23","STL","19","","4","10","1","52","515","463",".899","3.23","0","966","","","","102","-1.15","0","1","1""0"
"6","Ed Belfour","40","TOR","49","","22","22","4","159","1476","1317",".892","3.29","0","2897","","","","109","-13.27","0","1","1""12"
"7","Adam Berkhoel","24","ATL","9","","2","4","1","30","255","225",".882","3.81","0","473","","","","","","0","0","0""0"
"8","Martin Biron","28","BUF","35","","21","8","3","93","980","887",".905","2.89","1","1934","","","","96","3.76","0","1","1""10"
"9","Brian Boucher","29","TOT","14","","4","8","0","48","371","323",".871","4.15","0","694","","","","131","-11.37","0","0","0""2"
"10","Martin Brodeur","33","NJD","73","","43","23","7","187","2105","1918",".911","2.57","5","4365","","","","90","20.83","0","3","3""4"
"11","Ilya Bryzgalov","25","MDA","31","","13","12","1","66","733","667",".910","2.51","1","1575","","","","91","6.37","0","2","2""4"
"12","Peter Budaj","23","COL","34","","14","10","6","86","864","778",".900","2.86","2","1803","","","","101","-0.70","0","1","1""4"
"13","Sean Burke","39","TBL","35","","14","10","4","80","764","684",".895","2.80","2","1713","","","","106","-4.57","0","1","1""10"
"14","Sebastien Caron","25","PIT","26","","8","9","5","87","733","646",".881","3.98","1","1312","","","","120","-14.63","0","1","1""0"
"15","Frederic Cassivi","30","WSH","1","","0","1","0","4","30","26",".867","4.07","0","59","","","","","","0","0","0""0"
"16","Scott Clemmensen","28","NJD","13","","3","4","2","35","295","260",".881","3.35","0","627","","","","","","0","0","0""0"
"17","Dan Cloutier","29","VAN","13","","8","3","1","36","334","298",".892","3.17","0","681","","","","109","-3.02","0","0","0""4"
"18","Gerald Coleman","20","TBL","2","","0","0","1","2","17","15",".882","2.79","0","43","","","","","","0","0","0""0"
"19","Ty Conklin","29","EDM","18","","8","5","1","43","359","316",".880","2.80","1","922","","","","121","-7.56","0","0","0""2"
"20","Corey Crawford","21","CHI","2","","0","0","1","5","41","36",".878","3.49","0","86","","","","","","0","0","0""0"
"21","Yann Danis","24","MTL","6","","3","2","0","14","152","138",".908","2.69","1","312","","","","","","0","0","0""0"
"22","Marc Denis","28","CBJ","49","","21","25","1","151","1505","1354",".900","3.25","1","2786","","","","102","-2.41","0","1","1""2"
"23","Rick DiPietro","24","NYI","63","","30","24","5","180","1797","1617",".900","3.02","1","3572","","","","101","-2.58","0","1","1""28"
"24","Reinhard Divis","30","STL","12","","0","5","1","37","231","194",".840","4.67","0","475","","","","","","0","0","0""0"
"25","Wade Dubielewicz","27","NYI","7","","2","3","0","15","145","130",".897","2.90","0","310","","","","","","0","0","0""0"
"26","Mike Dunham","33","ATL","17","","8","5","2","36","336","300",".893","2.77","1","779","","","","109","-2.83","0","0","0""0"
"27","Brian Eklund","25","TBL","1","","0","1","0","3","19","16",".842","3.10","0","58","","","","","","0","0","0""0"
"28","Ray Emery","23","OTT","39","","23","11","4","102","1045","943",".902","2.82","3","2168","","","","99","1.17","0","1","1""2"
"29","Robert Esche","28","PHI","40","","22","11","5","113","1099","986",".897","2.97","1","2286","","","","104","-4.49","0","3","3""4"
"30","Manny Fernandez","31","MIN","58","","30","18","7","130","1612","1482",".919","2.29","1","3411","","","","82","29.16","0","3","3""6"
"31","Brian Finley","24","NSH","1","","0","1","0","7","41","34",".829","7.00","0","60","","","","","","0","0","0""0"
"32","Marc-Andre Fleury","21","PIT","50","","13","27","6","152","1485","1333",".898","3.25","1","2809","","","","104","-5.38","0","1","1""0"
"33","Michael Garnett","23","ATL","24","","10","7","4","73","634","561",".885","3.45","2","1271","","","","117","-10.40","0","2","2""0"
"34","Mathieu Garon","28","LAK","63","","31","26","3","185","1738","1553",".894","3.22","4","3446","","","","108","-13.40","0","3","3""8"
"35","Martin Gerber","31","CAR","60","","38","14","6","162","1719","1557",".906","2.78","3","3493","","","","95","7.72","0","2","2""4"
"36","Jean-Sebastien Giguere","28","MDA","60","","30","15","11","150","1692","1542",".911","2.66","2","3381","","","","90","17.05","0","0","0""20"
"37","John Grahame","30","TBL","57","","29","22","1","161","1450","1289",".889","3.06","5","3152","","","","112","-17.84","0","1","1""14"
"38","Josh Harding","21","MIN","3","","2","1","0","8","83","75",".904","2.59","1","185","","","","","","0","0","0""0"
"39","Dominik Hasek","41","OTT","43","","28","10","4","90","1202","1112",".925","2.09","5","2584","","","","76","28.68","0","0","0""16"
"40","Adam Hauser","25","LAK","1","","0","0","0","6","24","18",".750","7.06","0","51","","","","","","0","0","0""0"
"41","Johan Hedberg","32","DAL","19","","12","4","1","48","472","424",".898","2.67","0","1079","","","","103","-1.40","0","2","2""6"
