rank,player,age,teamName,position,gamesPlayed,goals,assists,points,plusMinus,penaltyMinutes,evenStrengthGoals,powerPlayGoals,shortHandedGoals,gameWinningPoints,evenStrengthAssists,powerPlayAssits,shortHandedAssists,shots,shootingPercentage,timeOnIce,averageTimeOnIce
"1","Antti Aalto","22","MDA","C","3","0","0","0","-1","0","0","0","0","0","0","0","0","1","0.0","",""
"2","Greg Adams","34","DAL","LW","49","14","18","32","11","20","7","7","0","1","11","7","0","75","18.7","",""
"3","Kevyn Adams","23","TOR","C","5","0","0","0","0","7","0","0","0","0","0","0","0","3","0.0","",""
"4","Tommy Albelin","33","CGY","D","69","2","17","19","9","32","1","1","0","2","11","3","3","88","2.3","",""
"5","Daniel Alfredsson","25","OTT","RW","55","17","28","45","7","18","10","7","0","7","19","9","0","149","11.4","",""
"6","Chris Allen","19","FLA","D","1","0","0","0","0","2","0","0","0","0","0","0","0","1","0.0","",""
"7","Jamie Allison","22","CGY","D","43","3","8","11","3","104","3","0","0","1","6","0","2","27","11.1","",""
"8","Jason Allison","22","BOS","C","81","33","50","83","33","60","28","5","0","8","28","20","2","158","20.9","",""
"9","Tony Amonte","27","CHI","RW","82","31","42","73","21","66","21","7","3","5","27","12","3","296","10.5","",""
"10","Erik Andersson","26","CGY","C","12","2","1","3","-4","8","2","0","0","0","1","0","0","11","18.2","",""
"11","Mikael Andersson","31","TBL","LW","72","6","11","17","-4","29","5","0","1","1","9","0","2","105","5.7","",""
"12","Niklas Andersson","26","SJS","LW","5","0","0","0","-1","2","0","0","0","0","0","0","0","6","0.0","",""
"13","Dave Andreychuk","34","NJD","LW","75","14","34","48","19","26","10","4","0","2","22","12","0","180","7.8","",""
"14","Shawn Antoski","27","MDA","LW","9","1","0","1","1","18","1","0","0","0","0","0","0","6","16.7","",""
"15","Derek Armstrong","24","OTT","C","9","2","0","2","1","9","2","0","0","1","0","0","0","8","25.0","",""
"16","Jason Arnott","23","TOT","RW","70","10","23","33","-24","99","6","4","0","2","13","10","0","199","5.0","",""
"17","Magnus Arvedson","26","OTT","LW","61","11","15","26","2","36","10","0","1","0","14","1","0","90","12.2","",""
"18","Blair Atcheynum","28","STL","RW","61","11","15","26","5","10","10","0","1","3","14","0","1","103","10.7","",""
"19","Adrian Aucoin","24","VAN","D","35","3","3","6","-4","21","2","1","0","1","3","0","0","44","6.8","",""
"20","Donald Audette","28","BUF","RW","75","24","20","44","10","59","14","10","0","5","16","4","0","198","12.1","",""
"21","P.J. Axelsson","22","BOS","LW","82","8","19","27","-14","38","6","2","0","1","19","0","0","144","5.6","",""
"22","Dave Babych","36","TOT","D","53","0","9","9","-9","49","0","0","0","0","8","1","0","46","0.0","",""
"23","Jamie Baker","31","TOR","C","13","0","5","5","1","10","0","0","0","0","5","0","0","16","0.0","",""
"24","Frank Banham","22","MDA","RW","21","9","2","11","-6","12","8","1","0","0","1","1","0","43","20.9","",""
"25","Drew Bannister","23","TOT","D","61","0","8","8","-9","89","0","0","0","0","7","1","0","50","0.0","",""
"26","Matthew Barnaby","24","BUF","RW","72","5","20","25","8","289","5","0","0","2","17","3","0","96","5.2","",""
"27","Stu Barnes","27","PIT","LW","78","30","35","65","15","30","14","15","1","5","22","12","1","196","15.3","",""
"28","Murray Baron","30","PHX","D","45","1","5","6","-10","106","1","0","0","0","5","0","0","23","4.3","",""
"29","Bob Bassen","32","DAL","LW","58","3","4","7","-4","57","3","0","0","1","4","0","0","40","7.5","",""
"30","Shawn Bates","22","BOS","C","13","2","0","2","-3","2","2","0","0","0","0","0","0","12","16.7","",""
"31","Bates Battaglia","22","CAR","C","33","2","4","6","-1","10","2","0","0","1","4","0","0","21","9.5","",""
"32","Ken Baumgartner","31","BOS","LW","82","0","1","1","-14","199","0","0","0","0","1","0","0","28","0.0","",""
"33","Nolan Baumgartner","21","WSH","D","4","0","1","1","0","0","0","0","0","0","0","1","0","4","0.0","",""
"34","Steve Begin","19","CGY","C","5","0","0","0","0","23","0","0","0","0","0","0","0","2","0.0","",""
"35","Wade Belak","21","COL","D","8","1","1","2","-3","27","1","0","0","1","1","0","0","2","50.0","",""
"36","Ken Belanger","23","NYI","LW","37","3","1","4","1","101","3","0","0","1","1","0","0","10","30.0","",""
"37","Brian Bellows","33","WSH","RW","11","6","3","9","-3","6","1","5","0","2","3","0","0","26","23.1","",""
"38","Jan Benda","25","WSH","C","9","0","3","3","1","6","0","0","0","0","3","0","0","8","0.0","",""
"39","Ladislav Benysek","22","EDM","D","2","0","0","0","-2","0","0","0","0","0","0","0","0","0","","",""
"40","Bryan Berard","20","NYI","D","75","14","32","46","-32","59","5","8","1","2","11","21","0","192","7.3","",""
"41","Drake Berehowsky","26","EDM","D","67","1","6","7","1","169","0","1","0","1","5","1","0","58","1.7","",""
"42","Sergei Berezin","26","TOR","LW","68","16","15","31","-3","10","13","3","0","3","15","0","0","167","9.6","",""
"43","Aki Berg","20","LAK","D","72","0","8","8","3","61","0","0","0","0","6","2","0","58","0.0","",""
"44","Bill Berg","30","NYR","C","67","1","9","10","-15","55","1","0","0","0","9","0","0","74","1.4","",""
"45","Marc Bergevin","32","STL","D","81","3","7","10","-2","90","3","0","0","0","6","0","1","40","7.5","",""
"46","Todd Bertuzzi","22","TOT","LW","74","13","20","33","-17","121","10","2","1","2","13","6","1","102","12.7","",""
"47","Craig Berube","32","WSH","LW","74","6","9","15","-3","189","6","0","0","0","9","0","0","68","8.8","",""
